fecha;NUMERO DE VIAJES (HOJA DE DISTRIB);REPARTO;UNIDAD;PUNTO DE PARTIDA;TIPO DE FLOTA (Propio o Tercero);PESO REQUERIDO;PESO ENTREGADO;PESO ENTREGADO A TIEMPO;NRO ENTREGAS EFECTUADAS (Nro Guias);NRO ENTREGAS RECHAZADAS (Nro Guias);CONSUMO D2;H. SALIDA;FLETE;H.INGRESO;TIEMPO REPARTO;KM INICIAL;KM FINAL;KM RECORRIDO (KM Inicial - KM Final);KM/GL;;;;;;;;;
31/10/2022;64493;LOCAL;PMN-125;Trujillo,  Perú;Propia;1261,50;875,50;69%;18;3;1,29;9:43:00;S/ 648,38;13:42:00;3:59:00;73063;73092;29;22,52;;;;;;;;;
31/10/2022;64537;LOCAL;PMN-125;Trujillo,  Perú;Propia;1838,00;1145,00;62%;8;3;1,51;15:17:00;S/ 898,06;18:44:00;3:27:00;73092;73126;34;22,52;;;;;;;;;
31/10/2022;64491;LOCAL;BRL-549;Chiclayo, Perú;Propia;4244,45;4244,45;100%;18;0;1,55;9:23:00;S/ 1.797,48;13:11:00;3:48:00;174727;174763;36;23,26;;;;;;;;;
31/10/2022;64521;LOCAL;BRL-549;Chiclayo, Perú;Propia;1942,00;1942,00;100%;22;0;1,46;14:40:00;S/ 858,07;17:22:00;2:42:00;174763;174797;34;23,26;;;;;;;;;
31/10/2022;64499;LOCAL;M14-016;Chiclayo, Perú;Propia;4347,50;4347,50;100%;14;0;2,827;10:24:00;S/ 1.722,15;13:11:00;2:47:00;187208;187225;17;6,01;;;;;;;;;
31/10/2022;64520;LOCAL;M14-016;Chiclayo, Perú;Propia;1516,00;1516,00;100%;1;0;1,995;14:55:00;S/ 1.454,99;17:56:00;3:01:00;187225;187237;12;6,01;;;;;;;;;
31/10/2022;64504;FUNDO;SMG-875;Cajamarca, Perú;Propia;283,00;283,00;100%;1;0;5,860;11:05:00;S/ 531,49;15:34:00;4:29:00;67084;67231;147;25,09;;;;;;;;;
02/11/2022;64620;LOCAL;PMN-125;Trujillo,  Perú;Propia;4542,00;4542,00;100%;5;0;2,220;8:37:00;S/ 1.320,00;13:35:00;4:58:00;73126;73181;55;24,77;;;;;;;;;
02/11/2022;64644;FUNDO;PMN-125;Trujillo,  Perú;Propia;3783,00;3783,00;100%;6;0;2,380;14:53:00;S/ 1.539,55;18:17:00;3:24:00;73181;73240;59;24,79;;;;;;;;;
02/11/2022;64621;LOCAL;BRL-549;Chiclayo, Perú;Propia;3559,51;3518,51;99%;16;1;1,370;8:09:00;S/ 1.189,95;12:23:00;4:14:00;174797;174824;27;19,71;;;;;;;;;
02/11/2022;64639;LOCAL;BRL-549;Chiclayo, Perú;Propia;2586,00;2586,00;100%;26;0;2,140;13:48:00;S/ 1.064,23;17:19:00;3:31:00;174824;174866;42;19,63;;;;;;;;;
02/11/2022;64627;FUNDO;SMG-875;Cajamarca, Perú;Propia;1464,50;1464,50;100%;11;0;7,260;5:00:00;S/ 906,06;14:20:00;9:20:00;67231;67413;182;25,07;;;;;;;;;
02/11/2022;64668;LOCAL;SMG-875;Cajamarca, Perú;Propia;485,40;485,40;100%;3;0;0,800;17:07:00;S/ 499,23;18:23:00;1:16:00;67435;67455;20;25,00;;;;;;;;;
02/11/2022;64623;LOCAL;AKM-892;Piura, Perú;Propia;3047,80;2905,80;95%;5;1;1,730;9:07:00;S/ 970,85;14:10:00;5:03:00;141086;141121;35;20,23;;;;;;;;;
02/11/2022;64640;LOCAL;M14-016;Chiclayo, Perú;Propia;3908,50;3908,50;100%;12;0;3,486;0:00:00;S/ 1.445,74;0:00:00;0:00:00;187269;187319;50;14,34;;;;;;;;;
02/11/2022;64624;LOCAL;DIP-028;Chiclayo, Perú;Propia;5220,00;5220,00;100%;5;0;0,83;9:04:00;S/ 1.304,99;12:41:00;3:37:00;96257;96278;21;25,33;;;;;;;;;
02/11/2022;64655;LOCAL;DIP-028;Chiclayo, Perú;Propia;1615,30;1613,30;100%;20;1;0,91;16:00:00;S/ 817,17;19:19:00;3:19:00;96278;96301;23;25,33;;;;;;;;;
02/11/2022;64668-64648;LOCAL;SMG-875;Cajamarca, Perú;Propia;860,00;860,00;100%;1;0;0,040;15:03:00;S/ 214,99;16:24:00;1:21:00;67455;67456;1;25,00;;;;;;;;;
02/11/2022;64643;LOCAL;KLM-532;Trujillo,  Perú;Propia;612,00;612,00;100%;1;0;8,170;14:07:00;S/ 305,99;18:10:00;4:03:00;568140;568271;131;16,03;;;;;;;;;
03/11/2022;64748;LOCAL;DIP-028;Chiclayo, Perú;Propia;2663,95;2663,95;100%;8;0;0,980;9:18:00;S/ 1.002,46;13:05:00;3:47:00;96301;96323;22;22,45;;;;;;;;;
03/11/2022;64794;LOCAL;DIP-028;Chiclayo, Perú;Propia;1939,00;1939,00;100%;19;0;1,110;15:05:00;S/ 753,04;18:10:00;3:05:00;96323;96348;25;22,52;;;;;;;;;
03/11/2022;64746;LOCAL;BRL-549;Chiclayo, Perú;Propia;4683,35;2260,35;48%;8;1;1,47;9:15:00;S/ 1.744,32;12:20:00;3:05:00;174866;174901;35;23,81;;;;;;;;;
03/11/2022;64784;LOCAL;BRL-549;Chiclayo, Perú;Propia;1859,50;1859,50;100%;24;0;1,84;14:20:00;S/ 917,28;19:02:00;4:42:00;174901;174945;44;23,91;;;;;;;;;
03/11/2022;64743;LOCAL;PMN-125;Trujillo,  Perú;Propia;2956,35;2956,35;100%;6;0;1,020;9:15:00;S/ 1.200,65;11:44:00;2:29:00;73240;73265;25;24,51;;;;;;;;;
03/11/2022;64800;LOCAL;PMN-125;Trujillo,  Perú;Propia;3464,00;3464,00;100%;3;0;0,120;15:20:00;S/ 969,92;18:24:00;3:04:00;73265;73268;3;25,00;;;;;;;;;
03/11/2022;64750;LOCAL;AKM-892;Piura, Perú;Propia;1111,00;1111,00;100%;6;0;1,920;9:34:00;S/ 603,84;13:33:00;3:59:00;141121;141160;39;20,31;;;;;;;;;
03/11/2022;64798;LOCAL;AKM-892;Piura, Perú;Propia;4997,20;4997,20;100%;8;1;2,220;15:19:00;S/ 1.791,47;19:06:00;3:47:00;141160;141205;45;20,27;;;;;;;;;
03/11/2022;64736;FUNDO;M14-016;Chiclayo, Perú;Propia;7800,00;7800,00;100%;1;0;17,605;4:48:00;S/ 0,00;17:20:00;12:32:00;187319;187632;313;17,78;;;;;;;;;
